Kansas;7,18,16,28,42,34,59,58,49,60,54,70,68,78,49,98,67,134,60,60,102,69,39,50,68,109,102
Kentucky;35,25,33,41,50,0,146,45,41,111,89,90,61,86,38,53,141,197,106,241,147,123,85,0,243,138,93
Louisiana;252,335,216,407,510,441,569,225,485,1212,1187,2726,1147,2199,514,1857,1417,746,1253,970,761,581,421,502,433,581,586
Maine;19,18,11,24,13,13,43,42,22,28,41,32,56,24,14,29,20,18,23,26,30,17,65,36,36,26,31
Maryland;54,44,61,74,157,194,218,247,174,247,325,346,427,367,484,436,326,1158,656,783,726,531,711,536,560,752,788
Massachusetts;121,131,382,679,579,823,1017,698,797,868,1118,1228,1436,1334,764,1337,1365,1588,2151,2033,1886,2615,1392,1296,1755,2263,2221
Michigan;248,293,463,504,561,801,993,836,1012,1117,1719,1457,1953,1481,1493,1503,1749,1376,1158,1279,1210,645,997,1366,1058,1204,760
Minnesota;31,66,27,25,59,52,43,62,73,53,60,53,47,76,70,51,83,85,88,94,91,194,29,45,114,103,159
Mississippi;66,42,71,57,108,94,84,95,89,90,136,104,181,97,183,100,177,88,257,209,173,139,161,145,273,264,169
Missouri;16,106,59,101,146,168,168,65,128,296,254,253,279,178,76,355,315,394,108,260,225,136,350,176,209,283,105
Montana;7,11,1,7,18,37,21,32,10,27,19,10,35,19,17,21,0,13,22,11,12,10,7,5,5,11,7
Nebraska;4,8,11,3,4,13,15,24,25,32,33,36,33,42,42,49,66,41,48,81,56,87,80,0,81,114,72
Nevada;29,55,33,43,99,115,86,299,88,105,166,179,56,228,94,117,134,231,138,128,116,136,135,0,240,110,203
New Hampshire;13,23,7,29,21,0,56,44,56,53,48,64,61,81,48,46,32,41,31,66,44,56,35,0,119,72,76
New Jersey;587,930,831,727,2474,1949,2299,2262,3250,2060,3559,3335,4305,4229,3381,3585,3326,3021,3590,3561,3563,3699,2734,4240,2206,4287,3150
New Mexico;8,18,17,12,24,0,72,29,44,34,48,40,92,51,78,62,108,71,124,102,83,71,100,0,139,113,114
New York;5418,5085,4790,5146,8166,5833,8506,6332,7579,8756,7918,9152,10423,10228,9314,8898,10468,8787,10333,10854,8786,8271,6240,6553,12434,11556,7753
North Carolina;9,155,88,69,262,7,116,215,195,174,181,306,264,169,207,376,282,241,261,265,267,227,275,167,331,253,423
North Dakota;2,2,2,11,7,13,18,15,11,13,20,17,14,13,21,18,12,14,18,9,15,15,23,10,24,28,46
Ohio;104,91,122,140,163,270,269,247,280,266,348,355,410,427,304,407,332,366,364,366,372,354,371,305,511,623,693
Oklahoma;14,14,25,58,86,72,55,52,52,84,154,160,109,171,93,75,145,52,160,110,74,102,99,115,79,94,108
Oregon;24,30,18,57,50,98,65,69,58,84,46,90,73,100,69,64,49,58,82,50,76,80,57,49,30,73,49
Pennsylvania;88,165,207,276,560,531,533,668,735,807,844,1459,1156,1995,1095,1617,1818,1798,1803,1794,1464,1116,1372,1053,1408,982,2186
Rhode Island;29,23,18,8,33,0,74,55,114,80,78,91,54,95,116,160,147,221,277,288,334,316,311,0,553,309,339
South Carolina;22,104,43,82,32,0,204,114,151,158,210,261,146,217,132,183,185,135,240,273,142,112,120,0,217,275,155
South Dakota;7,7,2,11,5,12,10,22,11,7,21,36,22,25,28,48,32,73,54,89,90,104,138,120,180,143,100
Tennessee;134,110,158,133,192,105,309,208,208,461,294,511,0,127,312,169,336,224,272,228,252,194,302,213,256,183,327
Texas;125,208,20,329,433,110,631,479,98,760,402,755,835,701,686,1043,851,1126,1361,760,1019,435,266,718,1385,629,1122
Utah;45,76,41,48,56,78,122,117,87,81,125,62,172,182,177,70,63,108,130,126,104,97,60,49,130,141,122
Vermont;3,23,20,28,35,26,27,24,21,37,28,17,51,72,51,31,32,30,23,51,32,16,21,4,7,9,11
Virginia;67,35,36,101,69,144,135,151,130,230,234,222,306,395,230,241,455,312,397,467,568,197,473,424,329,389,602
Washington;203,225,0,367,619,0,1103,173,413,586,362,741,381,625,393,342,356,660,310,543,253,184,71,0,207,124,411
West Virginia;1,4,4,32,24,0,37,11,21,17,29,26,20,45,42,21,67,71,40,51,17,20,15,14,78,21,36
Wisconsin;100,35,41,173,77,135,147,165,131,66,199,180,186,196,155,173,138,178,129,183,145,128,87,127,166,154,170
Wyoming;1,2,4,11,15,14,12,0,13,25,17,13,16,21,13,12,9,9,9,14,8,9,5,0,13,113,11
DATES;3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020
UNITED STATES;23935,33467,43655,53576,65894,85260,100194,123090,141810,162870,188141,214191,244392,276921,309572,335987,366279,399541,429767,464389,497884,527820,555094,579901,602377,637096,670489,702711
